rank;word;Translation
1;je;EU
2;de;do
3;est;é
4;pas;não
5;le;a
6;vous;vocês
7;la;a
8;tu;vocês
9;que;este
10;un;uma
11;il;ele
12;et;e
13;à;no
14;a;tem
15;ne;não
16;les;eles
17;ce;isto
18;en;dentro
19;on;nós
20;ça;este
21;une;uma
22;ai;tenho
23;pour;por
24;des;do
25;moi;Eu
26;qui;quem
27;nous;nós
28;y;Y
29;mais;mas
30;me;Eu
31;dans;dentro
32;du;a partir de
33;bien;Boa
34;elle;ela
35;si;E se
36;tout;tudo
37;plus;mais
38;non;Não
39;mon;minha
40;suis;sou
41;te;vocês
42;au;para
43;avec;com
44;va;vai
45;oui;sim
46;toi;vocês
47;fait;Faz
48;ils;elas
49;as;COMO
50;être;ser
51;faire;FAÇAM
52;se;SE
53;comme;Como
54;était;foi
55;sur;sobre
56;quoi;o que
57;ici;aqui
58;sais;conhecer
59;lui;dele
60;veux;querer
61;ma;minha
62;là;a
63;rien;nada
64;dit;disse
65;es;es
66;où;Onde
67;votre;sua
68;pourquoi;Por quê
69;sont;são
70;cette;isto
71;quand;quando
72;par;por
73;son;seu
74;ton;sua
75;peux;posso
76;vais;vai
77;dire;dizer
78;alors;então
79;comment;Como? 'Ou' o que
80;avez;tenho
81;bon;Nós iremos
82;ou;Onde
83;très;muito
84;merci;obrigada
85;ont;tenho
86;même;mesmo
87;jamais;Nunca
88;aussi;também
89;voir;Vejo
90;chose;coisa
91;allez;vamos
92;tous;tudo
93;deux;deles
94;ces;esses
95;faut;deve
96;sa;sua
97;êtes;são
98;été;verão
99;ta;sua
100;fais;Faz
101;avoir;tenho
102;peut;poderia
103;autre;outro
104;m;M
105;encore;Novamente
106;maintenant;agora
107;peu;pequena
108;mes;minha
109;vraiment;verdade
110;temps;Tempo
111;notre;nosso
112;toujours;ainda
113;vie;vida
114;sans;sem
115;juste;apenas
116;oh;Oh
117;avait;teve
118;accord;OK
119;vu;visto
120;monde;mundo
121;quelque;algum
122;fois;Tempo
123;aller;vai
124;trop;também
125;viens;venha
126;crois;acreditam
127;dieu;Deus
128;dois;devo
129;homme;cara
130;père;Papai
131;sûr;claro
132;aux;para
133;leur;seus
134;avant;antes da
135;étais;é
136;besoin;precisar
137;femme;mulheres
138;aime;amor
139;personne;ninguém
140;avais;teve
141;chez;na casa de
142;vrai;verdadeiro
143;ans;ano
144;mal;errado
145;ses;seu
146;parler;conversa
147;vos;sua
148;après;depois
149;mort;morto
150;veut;quer
151;eu;UE
152;sera;vai ser
153;bonne;Boa
154;parce;por
155;mieux;Melhor
156;petit;pequena
157;voilà;assim
158;tes;sua
159;ca;este
160;dis;dizer
161;beaucoup;muito
162;depuis;a partir de
163;doit;devo
164;vois;Vejo
165;mère;mãe
166;vas;vai
167;monsieur;Senhor
168;quel;o que
169;déjà;já
170;fille;filha
171;gens;pessoas
172;donc;assim
173;jour;dia
174;soir;tarde
175;autres;outros
176;ii;Ii
177;toute;tudo
178;bonjour;olá
179;ll;ll
180;maison;casa
181;nom;nome
182;argent;prata
183;nos;nosso
184;ouais;sim
185;pense;acho
186;merde;merda
187;nuit;noite
188;papa;pai
189;cela;este
190;salut;Olá
191;cet;isto
192;avons;tenho
193;reste;descanso
194;désolé;desculpe
195;maman;mamãe
196;peur;temer
197;arrive;chegado
198;seul;só
199;vite;rápido
200;prendre;leva
201;regarde;visto
202;air;ar
203;soit;isso é
204;trois;três
205;quelle;o que
206;passé;passado
207;savoir;saber
208;plaît;cadeia
209;choses;coisas
210;moins;menos
211;fils;filho
212;entre;Entre
213;bas;baixa
214;appelle;ligar
215;passe;passar
216;ah;Ah
217;tête;cabeça
218;demain;amanhã
219;grand;grande
220;arrête;parou
221;faites;feito
222;voulez;querer
223;hé;Ei
224;attends;aguentar
225;hein;Eh
226;enfants;crianças
227;assez;o suficiente
228;raison;RAISON
229;aurais;teria
230;voulais;desejado
231;elles;elas
232;parle;falar
233;ok;OK
234;jours;dias
235;dû;a partir de
236;moment;momento
237;heure;hora
238;puis;então
239;gars;rapazes
240;hommes;homens
241;amour;amor
242;tard;tarde
243;toutes;tudo
244;sommes;são
245;tuer;matar
246;eh;Eh
247;ami;amigo
248;connais;conhecer
249;petite;pequena
250;aider;ajudar
251;chance;chance
252;savez;conhecer
253;partir;sair
254;sait;sabe
255;combien;Quantos
256;voiture;carro
257;tant;tanto
258;pris;ocupado
259;part;vai
260;problème;problema
261;prends;leva
262;porte;portão
263;coup;cortar
264;serait;seria
265;venir;venha
266;hui;Hui
267;famille;família
268;travail;trabalhar
269;pu;poderia
270;seule;só
271;sens;significado
272;ni;nenhum
273;allons;vamos lá
274;revoir;Ver de novo
275;idée;idéia
276;putain;prostituta
277;passer;passar
278;contre;contra
279;comprends;Compreendo
280;entendu;Entendido
281;trouvé;encontrado
282;trouver;encontrar
283;vieux;velho
284;vient;venha
285;pendant;durante
286;aurait;teria
287;quelques;algum
288;attention;Aviso
289;demande;solicitar
290;chercher;olhe para
291;sous;debaixo
292;voici;aqui está
293;pourrait;poderia
294;sang;sangue
295;pouvez;posso
296;sortir;saia
297;question;pergunta
298;histoire;história
299;amis;amigos
300;venez;venha
301;frère;irmão
302;rester;fique
303;fini;finalizado
304;ville;Cidade
305;nouveau;novo
306;truc;coisa
307;tiens;aqui
308;mois;mês
309;eux;eles
310;mec;cara
311;yeux;olhos
312;laisse;deixe em paz
313;super;Excelente
314;belle;lindo
315;longtemps;muito tempo
316;police;polícia
317;eau;agua
318;heures;horas
319;car;Porque
320;importe;importado
321;cas;caso
322;vont;estão indo
323;chaque;cada
324;terre;terra
325;place;quadrado
326;tué;matar
327;type;Gentil
328;main;mão
329;pardon;desculpe
330;ensemble;juntos
331;seulement;só
332;guerre;guerra
333;beau;lindo
334;vers;em direção
335;mme;Sra
336;prie;rezar
337;devant;antes da
338;trouve;achar
339;partie;papel
340;suite;depois
341;compris;Entendido
342;matin;manhã
343;leurs;seus
344;aucun;Nenhum
345;arrivé;venha
346;dessus;acima de
347;chérie;caro
348;mettre;colocar
349;aide;assistência
350;étaient;nós estamos
351;ie;ou seja
352;perdu;perdido
353;fin;fim
354;sois;ser
355;premier;primeiro
356;genre;Gênero sexual
357;aimerais;gostaria de
358;droit;certo
359;donne;dado
360;attendez;esperar
361;jeune;jovem
362;feu;incêndio
363;devrais;deve
364;enfant;filho
365;chambre;quarto
366;gros;grande
367;côté;lado
368;venu;veio
369;loin;distante
370;laisser;deixar
371;donner;dar
372;jouer;jogar
373;savais;sabia
374;compte;conta
375;s;s
376;parlé;falar
377;minutes;minutos
378;regardez;olhar
379;train;Comboio
380;première;primeiro
381;pouvoir;potência
382;aura;terá
383;mourir;morrer
384;dernière;último
385;donné;dado
386;ia;I A
387;mari;esposo
388;écoute;ouço
389;enfin;finalmente
390;devrait;deve
391;mis;colocar
392;film;filme
393;aucune;Nenhum
394;fort;Forte
395;façon;caminho
396;pays;país
397;prêt;pronto
398;madame;senhora
399;femmes;mulheres
400;affaire;caso
401;pourrais;poderia
402;espère;ter esperança
403;parti;deixei
404;h;h
405;boulot;show
406;endroit;Lugar, colocar
407;fou;louco
408;corps;corpo
409;hier;ontem
410;dont;de quem
411;désolée;desculpe
412;grande;grande
413;point;ponto
414;cinq;cinco
415;dehors;Fora
416;filles;garotas
417;cause;causa
418;vivre;viver
419;près;perto
420;pensais;pensamento
421;garçon;Garoto
422;chef;chefe
423;haut;Alto
424;capitaine;capitão
425;dirait;diria
426;bébé;bebê
427;celui;único
428;demandé;exigem
429;possible;possível
430;mains;mãos
431;ainsi;Desta forma
432;quatre;quatro
433;nouvelle;notícia
434;années;anos
435;plein;cheio
436;semaine;semana
437;dites;dizer
438;croire;acreditar
439;marche;andando
440;tour;redondo
441;école;escola
442;manger;comer
443;plutôt;em vez de
444;docteur;médico
445;ceux;Essa
446;vérité;verdade
447;vue;visto
448;arrêter;Pare
449;essaie;tentar
450;envie;impulso
451;bientôt;em breve
452;instant;momento
453;dernier;último
454;affaires;o negócio
455;arriver;chegar
456;demander;perguntar
457;meilleur;Melhor
458;font;faço
459;derrière;atras do
460;c;vs.
461;dollars;dólares
462;presque;quase
463;dr;Dr
464;tellement;tanto
465;tomber;cair
466;journée;dia
467;voulait;queria
468;appeler;chamar
469;bureau;mesa
470;confiance;Confiar em
471;garde;guarda
472;attendre;Espero
473;numéro;número
474;serai;vai ser
475;dur;duro
476;á;tem
477;souviens;lembrar
478;o;o
479;voyez;Vejo
480;cours;Aulas
481;bonsoir;boa noite
482;route;estrada
483;fera;vai
484;prend;leva
485;cul;bunda
486;abord;a bordo
487;important;importante
488;peine;tristeza
489;croyais;acreditava
490;mot;palavra
491;devez;devo
492;suffit;o suficiente
493;minute;minuto
494;ferme;fechado
495;ben;Ben
496;plaisir;prazer
497;chien;cão
498;jeu;Jogo
499;seigneur;senhor
500;messieurs;cavalheiros
